Estacion,Fecha,Temp_min,Hora_min,Temp_max,Hora_max,A_la_Fecha,Ano_Pasado,Normal_a_la_Fecha,Def_Sup,Normal_Anual
Chacalluta Arica Ap.,2024-06-14,14.4,23:01,19.4,15:10,0.4,1.3,1.1,-63.6,2.3
Diego Aracena Iquique Ap.,2024-06-14,14.9,05:31,20.1,13:03,0.0,.,0.6,-100.0,0.9
El Loa Calama Ad.,2024-06-14,4.6,01:43,21.7,13:37,3.4,2.6,4.5,-24.4,6.8
Cerro Moreno Antofagasta Ap.,2024-06-14,11.3,06:41,20.1,12:16,0.4,0.0,1.9,-78.9,4.4
Mataveri Isla de Pascua Ap.,2024-06-14,17.8,07:49,20.4,13:31,670.6,519.3,526.3,27.4,1129.8
Desierto de Atacama Caldera Ad.,2024-06-14,12.7,23:55,17.8,11:54,8.5,1.1,.,.,.
La Florida La Serena Ad.,2024-06-14,12.2,02:10,14.5,20:01,52.4,0.2,30.3,72.9,83.2
Punta Angeles faro,2024-06-14,13.1,04:30,15.0,16:50,130.7,69.9,132.1,-1.1,363.2
Rodelillo Ad.,2024-06-14,10.0,03:26,13.7,20:08,247.3,114.6,195.6,26.4,523.9
Eulogio Sanchez Tobalaba Ad.,2024-06-14,7.4,05:34,16.0,21:56,.,22.4,111.9,.,326.1
Quinta Normal Santiago,2024-06-14,7.0,07:37,11.8,20:42,199.2,15.8,104.8,90.1,286.3
Pudahuel Santiago,2024-06-14,7.4,07:35,13.3,01:12,175.0,8.3,82.7,111.6,221.5
Santo Domingo Ad.,2024-06-14,11.7,06:47,15.1,12:56,107.9,81.0,162.1,-33.4,422.6
Juan Fernandez Estacion Meteorologica.,2024-06-14,12.6,05:17,16.4,22:05,615.2,277.8,421.8,45.9,971.3
General Freire Curico Ad.,2024-06-14,9.3,04:15,13.6,10:55,241.8,107.6,221.7,9.1,596.0
General Bernardo O'Higgins Chillan Ad.,2024-06-14,10.0,05:25,14.3,11:35,393.0,169.9,365.8,7.4,936.2
Carriel Sur Concepcion Ap.,2024-06-14,12.7,04:34,15.3,14:11,489.4,206.1,363.1,34.8,984.3
Maquehue Temuco Ad.,2024-06-14,8.4,02:15,14.6,12:22,439.7,.,432.6,1.6,1114.8
Pichoy Valdivia Ad.,2024-06-14,9.9,06:05,14.1,04:37,641.4,.,651.6,-1.6,1722.4
Canal Bajo Osorno Ad.,2024-06-14,7.6,07:50,12.7,15:45,.,475.4,501.1,.,1235.5
El Tepual Puerto Montt Ap.,2024-06-14,6.8,07:59,12.6,11:36,540.4,500.1,668.4,-19.2,1565.6
